config,concurrency,endpoint,reps,requests,layer_calls_ok,layer_calls_failed,saturated_reps,p50,p90,p97_5,p99,mean,rps,added_p50,added_p90,added_p97_5,added_p99,added_p95_lo,added_p95_hi,rps_ratio,layer_success
structural,1,courses,3,2845.0,0,0,0,20.0,24.0,28.0,45.0,20.4,47.42,0.0,0.0,0.0,0.0,-4.0,4.0,1.0,
R,1,courses,3,2758.0,9867,0,0,20.0,24.0,29.0,44.0,21.05,45.97,0.0,0.0,1.0,-1.0,-4.0,5.0,0.9694221847321804,1.0
EMB,1,courses,3,1155.0,4019,0,0,47.0,61.0,93.0,165.0,51.32,19.25,27.0,37.0,65.0,120.0,33.0,69.0,0.40594685786587936,1.0
HYB,1,courses,3,1152.0,4122,0,0,46.0,59.0,93.0,171.0,51.43,19.2,26.0,35.0,65.0,126.0,31.0,69.0,0.4048924504428511,1.0
SLM,1,courses,3,105.0,371,0,0,547.0,604.0,789.0,937.0,568.64,1.75,527.0,580.0,761.0,892.0,576.0,765.0,0.036904259805989034,1.0
JUDGE,1,courses,3,8.0,28,0,0,7185.0,10214.0,10214.0,10214.0,7201.13,0.14,7165.0,10190.0,10186.0,10169.0,10186.0,10190.0,0.002952340784479123,1.0
structural,1,profile,3,2576.0,0,0,0,21.0,25.0,32.0,127.0,22.61,42.94,0.0,0.0,0.0,0.0,-7.0,7.0,1.0,
R,1,profile,3,2511.0,8858,0,0,22.0,26.0,33.0,49.0,23.22,41.85,1.0,1.0,1.0,-78.0,-6.0,8.0,0.9746157428970658,1.0
EMB,1,profile,3,955.0,3301,0,0,57.0,71.0,102.0,160.0,62.19,15.92,36.0,46.0,70.0,33.0,39.0,77.0,0.3707498835584537,1.0
HYB,1,profile,3,937.0,3215,0,0,58.0,72.0,100.0,193.0,63.38,15.62,37.0,47.0,68.0,66.0,40.0,75.0,0.36376339077782954,1.0
SLM,1,profile,3,106.0,369,0,0,552.0,599.0,687.0,733.0,563.27,1.77,531.0,574.0,655.0,606.0,567.0,662.0,0.04122030740568235,1.0
JUDGE,1,profile,3,31.0,94,0,0,1632.0,2128.0,7715.0,7715.0,1914.65,0.52,1611.0,2103.0,7683.0,7588.0,2096.0,7690.0,0.012109920819748488,1.0
structural,1,reviews,3,2739.0,0,0,0,20.0,25.0,31.0,44.0,21.24,45.65,0.0,0.0,0.0,0.0,-6.0,6.0,1.0,
R,1,reviews,3,2584.0,9099,0,0,22.0,26.0,31.0,45.0,22.51,43.07,2.0,1.0,0.0,1.0,-5.0,6.0,0.9434830230010953,1.0
